,Analysis Start Date,Analysis End Date,Mean Congestion Spread,Congestion Spread Standard Dev,LMP Sink,Closest matching FTR Sink,LMP Source,Closest matching FTR Source
0,2025-04-01 00:00:00,2025-06-30 23:00:00,32.57,86.66,NSP DAHLGREN TR1,GRE.NSPP_1.AZ,ALTW HRNT HRNT1,ALTW.WRTHNGT
1,2025-04-01 00:00:00,2025-06-30 23:00:00,29.45,43.65,AMIL STEELVIL TR2,AMIL.TILTU2,OTP LISBON LISBON1,OTP.BIGSTON1
2,2025-04-01 00:00:00,2025-06-30 23:00:00,4.24,21.28,OTP LAKTOTP TR1,OTP.OTPW_1.AZ,ALTW PRAIRI PRAIRI1,ALTW.PIOPRAIR1
3,2025-04-01 00:00:00,2025-06-30 23:00:00,20.8,30.38,OTP MN_PIPE TR2,OTP.MPC.YNG2,OTP LISBON LISBON1,OTP.BIGSTON1
4,2025-04-01 00:00:00,2025-06-30 23:00:00,21.67,33.54,CIN MARILYN BK1,CIN.MARKLND.1,OTP LISBON LISBON1,OTP.BIGSTON1
5,2025-04-01 00:00:00,2025-06-30 23:00:00,21.67,34.89,AMMO OSAGE O_88,AMMO.CC.OSAGE,OTP LISBON LISBON1,OTP.BIGSTON1
6,2025-04-01 00:00:00,2025-06-30 23:00:00,18.12,29.87,OTP VALYOTP TR1,OTP.OTP,ALTW HRNT HRNT1,ALTW.WRTHNGT
7,2025-04-01 00:00:00,2025-06-30 23:00:00,14.69,18.64,BREC SKILLMAN B,BREC.SKILLMAN,ALTW HRNT HRNT1,ALTW.WRTHNGT
8,2025-04-01 00:00:00,2025-06-30 23:00:00,15.7,20.34,CONS ALCONA T2_3,CONS.ALCONA,MEC NEALN NEALN3,MEC.NEALN_3
9,2025-04-01 00:00:00,2025-06-30 23:00:00,15.83,21.17,GLH JOPPA_N SS6,GLH.JOPPA6,MEC NEALN NEALN3,MEC.NEALN_3
10,2025-04-01 00:00:00,2025-06-30 23:00:00,4.14,14.43,OTP FRAZEE TR_OTP1,OTP.OTPW_1.AZ,ALTW PRAIRI PRAIRI1,ALTW.PIOPRAIR1
11,2025-04-01 00:00:00,2025-06-30 23:00:00,14.35,19.13,HE OSPR_PT A,HE.OSPR_PT,ALTW HRNT HRNT1,ALTW.WRTHNGT
12,2025-04-01 00:00:00,2025-06-30 23:00:00,14.83,21.95,ALTE ALBANY00 XF2,ALTE.ALBANY,ALTW HRNT HRNT1,ALTW.WRTHNGT
13,2025-04-01 00:00:00,2025-06-30 23:00:00,15.59,25.79,NSP BURNVIL GRE_TR1,NSP.BR_DIR_TR1,ALTW WELLS WELLS1,ALTW.WELLS1
14,2025-04-01 00:00:00,2025-06-30 23:00:00,14.65,19.84,CONS ALPINE T1,CONS.ALPINE02,MEC NEALN NEALN3,MEC.NEALN_3
15,2025-04-01 00:00:00,2025-06-30 23:00:00,14.96,21.34,AMMO CALLAWAY AUX1,AMMO.CALLAWAY1,MEC NEALN NEALN3,MEC.NEALN_3
16,2025-04-01 00:00:00,2025-06-30 23:00:00,14.64,24.29,EES EXXON 5,EES.EXXON,ALTW HRNT HRNT1,ALTW.WRTHNGT
17,2025-04-01 00:00:00,2025-06-30 23:00:00,13.26,20.82,CLEC HUNTER2 T2,CLEC.HUNTER5,ALTW HRNT HRNT1,ALTW.WRTHNGT
18,2025-04-01 00:00:00,2025-06-30 23:00:00,13.59,21.01,NSP SPG SPG1,NSP.SPGSPG1,ALTW WELLS WELLS1,ALTW.WELLS1
19,2025-04-01 00:00:00,2025-06-30 23:00:00,12.63,20.39,EES LONSTR T1,EES.LONSTR1,ALTW HRNT HRNT1,ALTW.WRTHNGT
20,2025-04-01 00:00:00,2025-06-30 23:00:00,12.49,18.29,NSP CEDARFAL TR3,NSP.CEDARFAL,ALTW WELLS WELLS1,ALTW.WELLS1
21,2025-04-01 00:00:00,2025-06-30 23:00:00,12.34,19.1,NSP PR_ISLD PR_ISL2,NSP.PRISL2_LD,ALTW WELLS WELLS1,ALTW.WELLS1
22,2025-04-01 00:00:00,2025-06-30 23:00:00,12.27,18.69,NSP GROVE2 GROVE1,GRE.NSP.GREC,ALTW WELLS WELLS1,ALTW.WELLS1
23,2025-04-01 00:00:00,2025-06-30 23:00:00,11.81,17.84,AMIL EDWARDS2 TR7,AMIL.EDWARDS2,MEC NEALN NEALN3,MEC.NEALN_3
24,2025-04-01 00:00:00,2025-06-30 23:00:00,11.65,18.5,CWLP DALLMAN LDGS3,CWLP.DALLMA83,MEC NEALN NEALN3,MEC.NEALN_3
